filename,FoulResCS,FoulResHS,RunStatus,HeatTranRatClean,HeatTranRatDirty,HeatTranRatService,AreaRatioClean,AreaRatioDirty,HtLdTotal,DutyRatio,PresDropCalcSS,PresDropCalcTS,PresDropAlloSS,PresDropAlloTS,DPratioSS,DPratioTS,TempInSS,TempOutSS,TempInTS,TempOutTS,FlRaTotalSS,FlRaTotalTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,RV2ShlEnt,FoulMaxSS,FoulMaxTS,FoulResSS,FoulResTS,LMTD,MTDCorrFactor,ExcessSurfClean,ExcessSurfDirty,TubeNum,TubeOD,TubeID,TubeLng,ShlID,BafNum,BafSpcCC,BafCutPerc,TubePassNum,TubePattern,OverallLength,Area,FilmCoefSS,FilmCoefTS,PresOperInSS,PresOperInTS
8497_var_CS0.000196_HS0.000049.EDR,0.000196,0.000049,OK,291.2986,266.9007,224.1507,1.299566,1.19072,4.5,1,0.0006114308,0.0368171,0.2,0.5,0.003057154,0.07363421,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0001605779,0.0008678038,4.9E-05,0.0002648085,35.23991,0.9848065,29.95662,19.07201,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.6279,760.1713,4,25.1
8497_var_CS0.000196_HS0.000098.EDR,0.000196,0.000098,OK,291.4102,263.5465,224.1461,1.300091,1.17578,4.5,1,0.0006113708,0.036817,0.2,0.5,0.003056854,0.07363401,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.000278161,0.0007516264,9.8E-05,0.0002648085,35.23991,0.9848266,30.00906,17.57799,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.8537,760.3666,4,25.1
8497_var_CS0.000196_HS0.000147.EDR,0.000196,0.000147,OK,291.5139,260.2691,224.1418,1.300578,1.161181,4.5,1,0.0006113139,0.03681691,0.2,0.5,0.003056569,0.07363381,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0003680614,0.0006630326,0.000147,0.0002648085,35.23991,0.9848456,30.05782,16.11809,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.0596,760.5575,4,25.1
8497_var_CS0.000196_HS0.000196.EDR,0.000196,0.000196,OK,291.6157,257.0708,224.1376,1.301056,1.146933,4.5,1,0.0006112583,0.03681681,0.2,0.5,0.003056292,0.07363363,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0004391091,0.0005932645,0.000196,0.0002648085,35.23991,0.9848638,30.10563,14.69327,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.2623,760.7437,4,25.1
8497_var_CS0.000196_HS0.000244.EDR,0.000196,0.000244,OK,291.6924,253.9955,224.1314,1.301435,1.133244,4.5,1,0.0006112091,0.03681673,0.2,0.5,0.003056045,0.07363346,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0004955687,0.0005378312,0.000244,0.0002648085,35.23991,0.9848912,30.14349,13.32439,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.4005,760.9206,4,25.1
8497_var_CS0.000196_HS0.000293.EDR,0.000196,0.000293,OK,291.7884,250.9442,224.1284,1.301881,1.119645,4.5,1,0.0006111602,0.03681665,0.2,0.5,0.003055801,0.0736333,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0005434378,0.00049115,0.000293,0.0002648085,35.23991,0.9849045,30.18807,11.9645,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.591,761.0979,4,25.1
8497_var_CS0.000196_HS0.000342.EDR,0.000196,0.000342,OK,291.8851,247.9658,224.1251,1.302331,1.106372,4.5,1,0.0006111133,0.03681657,0.2,0.5,0.003055567,0.07363314,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0005837751,0.0004520135,0.000342,0.0002648085,35.23991,0.9849188,30.23313,10.63724,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.7852,761.2711,4,25.1
8497_var_CS0.000196_HS0.000391.EDR,0.000196,0.000391,OK,291.9262,245.0181,224.1103,1.302601,1.093292,4.5,1,0.0006109679,0.03739354,0.2,0.5,0.00305484,0.07478708,55,34.9978,5,12.7386,197.609177,910.4749,11.16475,0.02023189,0.2357146,43.3877,2.855132,0.0006180111,0.0004185539,0.000391,0.0002648085,35.23991,0.9849837,30.26005,9.329223,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.8275,761.4451,4,25.1
8497_var_CS0.000196_HS0.000440.EDR,0.000196,0.000440,OK,291.992,242.1566,224.1004,1.302952,1.080572,4.5,1,0.0006108974,0.03739354,0.2,0.5,0.003054487,0.07478708,55,34.9978,5,12.7386,197.609177,910.4749,11.16475,0.02023189,0.2357146,43.3877,2.855132,0.0006477147,0.000389819,0.00044,0.0002648085,35.23991,0.9850271,30.29516,8.057158,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.9401,761.6116,4,25.1
8497_var_CS0.000293_HS0.000000.EDR,0.000293,0.000000,OK,291.4803,261.3269,224.1431,1.300421,1.165893,4.5,1,0.0006113322,0.03681694,0.2,0.5,0.003056661,0.07363387,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0,0.001030672,0,0.0003958617,35.23991,0.9848396,30.04205,16.58929,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.9929,760.4958,4,25.1
