filename,FoulResCS,FoulResHS,RunStatus,HtLdTotal,DutyRatio,TempOutSS,TempOutTS,TempInSS,TempInTS,HeatTranRatDirty,HeatTranRatClean,AreaRatioDirty,AreaRatioClean,PresDropCalcSS,PresDropCalcTS,DPratioSS,DPratioTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,LMTD,MTDCorrFactor,ExcessSurfDirty,FoulResSS,FoulResTS
8497_var_CS0.000293_HS0.000000.EDR,0.000293,0.000000,OK,4.5,1,34.9978,12.7386,55,5,261.3269,291.4803,1.165893,1.300421,0.0006113322,0.03681694,0.003056661,0.07363387,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848396,16.58929,0,0.0003958617
8497_var_CS0.000293_HS0.000049.EDR,0.000293,0.000049,OK,4.5,1,34.9978,12.7386,55,5,258.1032,291.5828,1.151532,1.300902,0.0006112764,0.03681684,0.003056382,0.07363369,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848579,15.1532,4.9E-05,0.0003958617
8497_var_CS0.000293_HS0.000098.EDR,0.000293,0.000098,OK,4.5,1,34.9978,12.7386,55,5,254.9492,291.6737,1.137481,1.301331,0.0006112243,0.03681676,0.003056121,0.07363351,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848756,13.74807,9.8E-05,0.0003958617
8497_var_CS0.000293_HS0.000147.EDR,0.000293,0.000147,OK,4.5,1,34.9978,12.7386,55,5,251.8664,291.758,1.123755,1.301739,0.000611175,0.03681667,0.003055875,0.07363334,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849002,12.37545,0.000147,0.0003958617
8497_var_CS0.000293_HS0.000196.EDR,0.000293,0.000196,OK,4.5,1,34.9978,12.7386,55,5,248.868,291.8573,1.110393,1.302201,0.0006111265,0.03681659,0.003055632,0.07363319,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849142,11.03926,0.000196,0.0003958617
8497_var_CS0.000293_HS0.000244.EDR,0.000293,0.000244,OK,4.5,1,34.9978,12.7386,55,5,245.9639,291.9046,1.097496,1.302485,0.0006109912,0.03739354,0.003054956,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9849693,9.749622,0.000244,0.0003958617
8497_var_CS0.000293_HS0.000293.EDR,0.000293,0.000293,OK,4.5,1,34.9978,12.7386,55,5,243.0806,291.9707,1.084679,1.302838,0.0006109202,0.03739354,0.003054601,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9850132,8.467918,0.000293,0.0003958617
8497_var_CS0.000293_HS0.000342.EDR,0.000293,0.000342,OK,4.5,1,34.9978,12.7386,55,5,240.3103,292.1052,1.072235,1.303337,0.0006111619,0.03681405,0.00305581,0.0736281,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.984937,7.223496,0.000342,0.0003958617
8497_var_CS0.000293_HS0.000391.EDR,0.000293,0.000391,OK,4.5,1,34.9978,12.7386,55,5,237.5625,292.1792,1.059982,1.303677,0.0006111566,0.03681393,0.003055783,0.07362785,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.984944,5.998198,0.000391,0.0003958617
8497_var_CS0.000293_HS0.000440.EDR,0.000293,0.000440,OK,4.5,1,34.9978,12.7386,55,5,234.8721,292.2461,1.047985,1.303983,0.0006111531,0.03681381,0.003055765,0.07362762,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849504,4.798462,0.00044,0.0003958617
8497_var_CS0.000391_HS0.000000.EDR,0.000391,0.000000,OK,4.5,1,34.9978,12.7386,55,5,252.7741,291.7293,1.1278,1.301606,0.0006111895,0.0368167,0.003055948,0.0736334,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848962,12.78001,0,0.000528266
8497_var_CS0.000391_HS0.000049.EDR,0.000391,0.000049,OK,4.5,1,34.9978,12.7386,55,5,249.7538,291.8279,1.11434,1.302064,0.0006111411,0.03681662,0.003055705,0.07363323,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.98491,11.43399,4.9E-05,0.000528266
8497_var_CS0.000391_HS0.000098.EDR,0.000391,0.000098,OK,4.5,1,34.9978,12.7386,55,5,246.776,291.8862,1.101106,1.302386,0.0006110111,0.03739354,0.003055056,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9849566,10.11057,9.8E-05,0.000528266
8497_var_CS0.000391_HS0.000147.EDR,0.000391,0.000147,OK,4.5,1,34.9978,12.7386,55,5,243.8738,291.9525,1.088206,1.302741,0.0006109397,0.03739354,0.003054699,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9850012,8.82057,0.000147,0.000528266
8497_var_CS0.000391_HS0.000196.EDR,0.000391,0.000196,OK,4.5,1,34.9978,12.7386,55,5,241.0386,292.0179,1.075601,1.303089,0.0006108702,0.03739354,0.003054351,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9850439,7.560122,0.000196,0.000528266
8497_var_CS0.000391_HS0.000244.EDR,0.000391,0.000244,OK,4.5,1,34.9978,12.7386,55,5,238.3746,292.1574,1.063603,1.303577,0.000611158,0.03681396,0.00305579,0.07362793,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.984942,6.360335,0.000244,0.000528266
8497_var_CS0.000391_HS0.000293.EDR,0.000391,0.000293,OK,4.5,1,34.9978,12.7386,55,5,235.6678,292.2271,1.051533,1.303897,0.0006111537,0.03681385,0.003055769,0.07362769,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849486,5.153284,0.000293,0.000528266
8497_var_CS0.000391_HS0.000342.EDR,0.000391,0.000342,OK,4.5,1,34.9978,12.7386,55,5,233.0177,292.2905,1.039714,1.304187,0.0006111515,0.03681373,0.003055758,0.07362746,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849545,3.971442,0.000342,0.000528266
8497_var_CS0.000391_HS0.000391.EDR,0.000391,0.000391,OK,4.5,1,34.9978,12.7386,55,5,230.4263,292.3535,1.028157,1.304475,0.0006111495,0.03681361,0.003055748,0.07362723,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.98496,2.815744,0.000391,0.000528266
8497_var_CS0.000391_HS0.000440.EDR,0.000391,0.000440,OK,4.5,1,34.9978,12.7386,55,5,227.8916,292.416,1.016853,1.304761,0.0006111476,0.0368135,0.003055738,0.073627,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849652,1.685318,0.00044,0.000528266
8497_var_CS0.000489_HS0.000000.EDR,0.000489,0.000000,OK,4.5,1,34.9978,12.7386,55,5,244.7312,291.9328,1.092017,1.302636,0.0006109609,0.03739354,0.003054804,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9849882,9.201689,0,0.0006606702
8497_var_CS0.000489_HS0.000049.EDR,0.000489,0.000049,OK,4.5,1,34.9978,12.7386,55,5,241.8763,291.9985,1.079325,1.302986,0.0006108905,0.03739354,0.003054452,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9850314,7.932541,4.9E-05,0.0006606702
8497_var_CS0.000489_HS0.000098.EDR,0.000489,0.000098,OK,4.5,1,34.9978,12.7386,55,5,239.136,292.1371,1.066999,1.303484,0.0006111594,0.036814,0.003055797,0.07362799,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849401,6.699879,9.8E-05,0.0006606702
8497_var_CS0.000489_HS0.000147.EDR,0.000489,0.000147,OK,4.5,1,34.9978,12.7386,55,5,236.4137,292.2095,1.05486,1.303816,0.0006111543,0.03681388,0.003055772,0.07362776,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.984947,5.485955,0.000147,0.0006606702
8497_var_CS0.000489_HS0.000196.EDR,0.000489,0.000196,OK,4.5,1,34.9978,12.7386,55,5,233.747,292.2729,1.042967,1.304107,0.0006111521,0.03681376,0.00305576,0.07362752,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849529,4.296702,0.000196,0.0006606702
8497_var_CS0.000489_HS0.000244.EDR,0.000489,0.000244,OK,4.5,1,34.9978,12.7386,55,5,231.1922,292.3347,1.031573,1.30439,0.0006111501,0.03681365,0.00305575,0.07362729,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849584,3.157314,0.000244,0.0006606702
8497_var_CS0.000489_HS0.000293.EDR,0.000489,0.000293,OK,4.5,1,34.9978,12.7386,55,5,228.6408,292.3974,1.020195,1.304676,0.0006111482,0.03681354,0.003055741,0.07362707,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849637,2.019448,0.000293,0.0006606702
8497_var_CS0.000489_HS0.000342.EDR,0.000489,0.000342,OK,4.5,1,34.9978,12.7386,55,5,226.1439,292.4581,1.009059,1.304955,0.0006111454,0.03681343,0.003055727,0.07362685,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849694,0.9059179,0.000342,0.0006606702
8497_var_CS0.000489_HS0.000391.EDR,0.000489,0.000391,OK,4.5,1,34.9978,12.7386,55,5,223.6924,292.5043,0.9981255,1.305167,0.0006111476,0.03681332,0.003055738,0.07362664,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.984974,-0.1874479,0.000391,0.0006606702
8497_var_CS0.000489_HS0.000440.EDR,0.000489,0.000440,OK,4.5,1,34.9978,12.7386,55,5,221.2936,292.5505,0.9874262,1.305379,0.0006111497,0.03681322,0.003055749,0.07362644,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849785,-1.257382,0.00044,0.0006606702
8497_var_CS0.000587_HS0.000000.EDR,0.000587,0.000000,OK,4.5,1,34.9978,12.7386,55,5,237.2185,292.1884,1.058448,1.303719,0.000611156,0.03681391,0.00305578,0.07362782,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849449,5.844792,0,0.0007930745
8497_var_CS0.000587_HS0.000049.EDR,0.000587,0.000049,OK,4.5,1,34.9978,12.7386,55,5,234.5351,292.2541,1.046481,1.30402,0.0006111528,0.03681379,0.003055764,0.07362759,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849511,4.64815,4.9E-05,0.0007930745
8497_var_CS0.000587_HS0.000098.EDR,0.000587,0.000098,OK,4.5,1,34.9978,12.7386,55,5,231.9101,292.3173,1.034775,1.30431,0.0006111506,0.03681368,0.003055753,0.07362736,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849568,3.477516,9.8E-05,0.0007930745
8497_var_CS0.000587_HS0.000147.EDR,0.000587,0.000147,OK,4.5,1,34.9978,12.7386,55,5,229.3431,292.3801,1.023327,1.304597,0.0006111487,0.03681357,0.003055743,0.07362714,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849622,2.332654,0.000147,0.0007930745
8497_var_CS0.000587_HS0.000196.EDR,0.000587,0.000196,OK,4.5,1,34.9978,12.7386,55,5,226.8318,292.4422,1.012127,1.304882,0.0006111463,0.03681346,0.003055731,0.07362691,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849676,1.212679,0.000196,0.0007930745
8497_var_CS0.000587_HS0.000244.EDR,0.000587,0.000244,OK,4.5,1,34.9978,12.7386,55,5,224.4171,292.4905,1.001358,1.305104,0.000611147,0.03681335,0.003055735,0.07362671,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849727,0.1357505,0.000244,0.0007930745
8497_var_CS0.000587_HS0.000293.EDR,0.000587,0.000293,OK,4.5,1,34.9978,12.7386,55,5,222.0027,292.5367,0.9905891,1.305316,0.0006111491,0.03681325,0.003055745,0.0736265,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849772,-0.941084,0.000293,0.0007930745
8497_var_CS0.000587_HS0.000342.EDR,0.000587,0.000342,OK,4.5,1,34.9978,12.7386,55,5,219.6398,292.5829,0.9800498,1.305528,0.0006111512,0.03681315,0.003055756,0.0736263,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849815,-1.995013,0.000342,0.0007930745
8497_var_CS0.000587_HS0.000391.EDR,0.000587,0.000391,OK,4.5,1,34.9978,12.7386,55,5,217.3266,292.6291,0.9697323,1.305739,0.0006111533,0.03681305,0.003055766,0.0736261,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849856,-3.026769,0.000391,0.0007930745
8497_var_CS0.000587_HS0.000440.EDR,0.000587,0.000440,OK,4.5,1,34.9978,12.7386,55,5,215.0591,292.6705,0.9596186,1.30593,0.0006111554,0.03681296,0.003055777,0.07362591,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849902,-4.038135,0.00044,0.0007930745
8497_var_CS0.000684_HS0.000000.EDR,0.000684,0.000000,OK,4.5,1,34.9978,12.7386,55,5,230.1723,292.3597,1.027025,1.304504,0.0006111493,0.0368136,0.003055747,0.0736272,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849605,2.70247,0,0.0009241276
8497_var_CS0.000684_HS0.000049.EDR,0.000684,0.000049,OK,4.5,1,34.9978,12.7386,55,5,227.6431,292.4222,1.015745,1.30479,0.0006111474,0.03681349,0.003055737,0.07362698,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849657,1.574503,4.9E-05,0.0009241276
8497_var_CS0.000684_HS0.000098.EDR,0.000684,0.000098,OK,4.5,1,34.9978,12.7386,55,5,225.164,292.4764,1.004689,1.305039,0.0006111463,0.03681339,0.003055732,0.07362677,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849712,0.468898,9.8E-05,0.0009241276
8497_var_CS0.000684_HS0.000147.EDR,0.000684,0.000147,OK,4.5,1,34.9978,12.7386,55,5,222.7337,292.5226,0.9938493,1.305251,0.0006111484,0.03681328,0.003055742,0.07362656,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849758,-0.6150734,0.000147,0.0009241276
8497_var_CS0.000684_HS0.000196.EDR,0.000684,0.000196,OK,4.5,1,34.9978,12.7386,55,5,220.3552,292.5688,0.9832409,1.305463,0.0006111506,0.03681318,0.003055753,0.07362636,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849802,-1.675909,0.000196,0.0009241276
